,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,73.96,67,0,13.73,PF,1631760704
1,Port Alfred,-33.5906,26.891,57.4,76,57,10.13,ZA,1631760705
2,Tuktoyaktuk,69.4541,-133.0374,50.0,81,75,3.44,CA,1631760707
3,Carnarvon,-24.8667,113.6333,69.87,73,75,16.11,AU,1631760709
4,Hermanus,-34.4187,19.2345,47.8,79,96,11.39,ZA,1631760709
5,Baruun-Urt,46.6806,113.2792,64.49,44,0,11.27,MN,1631760712
6,Longyearbyen,78.2186,15.6401,33.96,87,100,7.9,SJ,1631760712
7,Kapaa,22.0752,-159.319,79.23,67,40,5.01,US,1631760714
8,Barrow,71.2906,-156.7887,35.62,87,90,12.66,US,1631760716
9,Bredasdorp,-34.5322,20.0403,52.92,87,80,5.75,ZA,1631760717
10,Waingapu,-9.6567,120.2641,88.12,56,43,12.71,ID,1631760605
11,Kasongo-Lunda,-6.4667,16.8167,72.16,87,90,1.92,CD,1631760719
12,Burnie,-41.0667,145.9167,53.58,55,91,3.98,AU,1631760721
13,Punta Arenas,-53.15,-70.9167,33.91,60,75,5.75,CL,1631760722
14,Port Elizabeth,-33.918,25.5701,55.69,82,0,12.66,ZA,1631760723
15,Orta Nova,41.3299,15.7107,69.67,49,78,4.29,IT,1631760725
16,Ixtapa,20.7,-105.2,78.22,92,93,1.99,MX,1631760727
17,Pevek,69.7008,170.3133,31.33,74,99,11.97,RU,1631760728
18,Atuona,-9.8,-139.0333,77.94,74,4,20.38,PF,1631760729
19,Cayenne,4.9333,-52.3333,83.08,81,0,1.99,GF,1631760731
20,Hobart,-42.8794,147.3294,56.7,58,20,10.36,AU,1631760465
21,Ushuaia,-54.8,-68.3,28.06,100,75,14.97,AR,1631760733
22,Vaini,-21.2,-175.2,80.76,83,40,10.36,TO,1631760735
23,Chokurdakh,70.6333,147.9167,39.18,63,94,9.4,RU,1631760736
24,Dikson,73.5069,80.5464,37.81,96,100,26.91,RU,1631760738
25,Saskylakh,71.9167,114.0833,43.02,87,100,10.6,RU,1631760740
26,Orán,-23.1322,-64.326,59.34,48,27,1.43,AR,1631760741
27,Butaritari,3.0707,172.7902,82.96,73,98,11.61,KI,1631760743
28,Hilo,19.7297,-155.09,77.2,83,75,12.66,US,1631760744
29,Castro,-42.4721,-73.7732,49.39,93,90,16.11,CL,1631760746
30,Port Lincoln,-34.7333,135.8667,65.64,57,0,18.23,AU,1631760748
31,Qaanaaq,77.484,-69.3632,14.95,73,85,8.19,GL,1631760749
32,Khvastovichi,53.4694,35.0941,39.34,91,6,4.68,RU,1631760750
33,Cherskiy,68.75,161.3,36.23,57,87,11.92,RU,1631760752
34,Puerto Ayora,-0.7393,-90.3518,67.55,93,16,1.01,EC,1631760754
35,Sur,22.5667,59.5289,88.02,42,79,2.93,OM,1631760756
36,Los Llanos de Aridane,28.6585,-17.9182,67.12,76,0,8.05,ES,1631760757
37,Terra Santa,-2.1042,-56.4869,79.65,53,41,2.89,BR,1631760756
38,Fairbanks,64.8378,-147.7164,54.1,47,1,6.91,US,1631760759
39,Krasnosel'kup,65.7,82.4667,42.69,81,97,1.61,RU,1631760761
40,Severo-Kuril'sk,50.6789,156.125,53.4,73,1,10.4,RU,1631760762
41,Clyde River,70.4692,-68.5914,30.24,80,23,6.08,CA,1631760764
42,Ribeira Grande,38.5167,-28.7,71.15,77,8,7.0,PT,1631760758
43,Hasaki,35.7333,140.8333,77.4,73,33,18.75,JP,1631760766
44,Zhangjiakou,40.81,114.8794,66.92,61,100,8.08,CN,1631760766
45,New Norfolk,-42.7826,147.0587,56.03,39,15,1.72,AU,1631760767
46,Bethel,41.3712,-73.414,71.2,84,75,0.0,US,1631760768
47,Chui,-33.6971,-53.4616,48.13,80,0,5.17,UY,1631760769
48,Esmeraldas,-1.8675,-79.7994,72.27,71,89,6.38,EC,1631760770
49,Faanui,-16.4833,-151.75,79.38,71,3,18.37,PF,1631760772
50,Sabang,5.8933,95.3214,82.0,70,100,5.41,ID,1631760774
51,Arkadak,51.9326,43.4978,42.42,77,3,6.46,RU,1631760774
52,Iqaluit,63.7506,-68.5145,35.33,93,75,3.44,CA,1631760776
53,Avarua,-21.2078,-159.775,78.85,69,40,11.5,CK,1631760777
54,Cape Canaveral,28.4058,-80.6048,78.55,82,20,3.44,US,1631760779
55,Tiksi,71.6872,128.8694,41.04,90,100,2.26,RU,1631760780
56,Albany,-35.0169,117.8917,54.03,87,90,16.11,AU,1631760782
57,Nikolskoye,59.7035,30.7861,42.69,90,100,3.91,RU,1631760783
58,Boysun,38.2061,67.1986,75.09,15,0,3.18,UZ,1631760784
59,Te Anau,-45.4167,167.7167,45.14,86,79,5.48,NZ,1631760627
60,Departamento de Maldonado,-34.6667,-54.9167,47.59,74,0,6.98,UY,1631760772
61,Minbu,20.1833,94.8833,83.68,78,99,2.95,MM,1631760785
62,Mar del Plata,-38.0023,-57.5575,46.42,81,0,4.61,AR,1631760786
63,Jamestown,-15.9387,-5.7168,61.83,77,96,19.04,SH,1631760758
64,Yellowknife,62.456,-114.3525,45.12,70,75,14.97,CA,1631760788
65,Klaksvík,62.2266,-6.589,50.92,80,92,5.91,FO,1631760789
66,Schwedt,53.0596,14.2815,64.71,96,100,7.78,DE,1631760792
67,Bluff,-46.6,168.3333,48.79,59,82,12.88,NZ,1631760793
68,East London,-33.0153,27.9116,58.98,71,98,13.6,ZA,1631760602
69,Busselton,-33.65,115.3333,56.05,76,88,22.93,AU,1631760795
70,Araouane,18.9048,-3.5265,90.79,31,74,5.82,ML,1631760795
71,Zhezkazgan,47.8043,67.7144,64.92,31,41,1.32,KZ,1631760797
72,Tiarei,-17.5333,-149.3333,84.22,78,5,17.43,PF,1631760797
73,Leningradskiy,69.3833,178.4167,30.49,89,99,3.56,RU,1631760800
74,Torbay,47.6666,-52.7314,46.44,86,40,11.5,CA,1631760802
75,Nouadhibou,20.931,-17.0347,75.18,73,2,19.57,MR,1631760804
76,Kunduz,36.729,68.857,81.64,10,0,3.11,AF,1631760539
77,Naze,28.3667,129.4833,86.92,78,30,13.96,JP,1631760533
78,Berlevåg,70.8578,29.0864,40.51,75,68,6.35,NO,1631760807
79,Khovd,48.0056,91.6419,60.89,17,100,2.06,MN,1631760808
80,Lebu,-37.6167,-73.65,47.12,86,1,5.82,CL,1631760808
81,Hithadhoo,-0.6,73.0833,82.99,71,44,10.83,MV,1631760810
82,Sakaiminato,35.55,133.2333,78.78,65,20,8.05,JP,1631760810
83,Biograd na Moru,43.9433,15.4519,65.1,53,83,8.19,HR,1631760577
84,Kloulklubed,7.0419,134.2556,83.62,75,61,9.37,PW,1631760811
85,Khatanga,71.9667,102.5,36.07,99,100,12.77,RU,1631760811
86,Tasiilaq,65.6145,-37.6368,33.73,99,100,6.44,GL,1631760814
87,Cape Town,-33.9258,18.4232,53.56,84,20,5.01,ZA,1631760815
88,Kawalu,-7.3817,108.2082,81.5,72,82,3.04,ID,1631760817
89,Ouadda,8.0777,22.4007,67.87,95,61,1.74,CF,1631760817
90,Pangai,-19.8,-174.35,82.51,74,20,11.5,TO,1631760819
91,Touros,-5.1989,-35.4608,76.1,86,51,14.03,BR,1631760821
92,Kalāleh,37.3807,55.4916,69.4,83,0,0.0,IR,1631760822
93,Arraial do Cabo,-22.9661,-42.0278,71.47,97,73,13.6,BR,1631760824
94,Wajid,3.8093,43.2471,74.48,76,70,16.84,SO,1631760825
95,Hofn,64.2539,-15.2082,52.21,96,96,8.61,IS,1631760776
96,Abu Dhabi,24.4667,54.3667,87.82,89,85,4.61,AE,1631760624
97,Masuguru,-11.3667,38.4167,70.0,85,69,3.62,TZ,1631760828
98,Talcahuano,-36.7167,-73.1167,49.68,87,0,10.36,CL,1631760829
99,Saint-Philippe,-21.3585,55.7679,67.89,82,17,8.95,RE,1631760831
100,Bagdarin,54.4333,113.6,50.05,45,92,4.43,RU,1631760834
101,Victoria,-4.6167,55.45,78.06,83,40,16.11,SC,1631760689
102,Ponta do Sol,17.1994,-25.0919,80.38,80,92,12.71,CV,1631760758
103,Fort Nelson,58.8053,-122.7002,49.59,62,40,5.75,CA,1631760836
104,Rumonge,-3.9736,29.4386,75.33,64,94,4.16,BI,1631760838
105,Mouila,-1.8685,11.0559,75.63,91,98,1.88,GA,1631760839
106,Muros,42.7762,-9.0603,60.64,88,7,7.94,ES,1631760841
107,Kargil,34.5667,76.1,55.72,47,3,2.59,IN,1631760842
108,Lumberton,34.6182,-79.0086,75.52,93,100,5.64,US,1631760555
109,Tuatapere,-46.1333,167.6833,48.81,77,96,6.06,NZ,1631760843
110,Kruisfontein,-34.0033,24.7314,51.89,79,7,7.29,ZA,1631760844
111,Okhotsk,59.3833,143.3,59.76,66,6,8.19,RU,1631760846
112,Narsaq,60.9167,-46.05,35.8,51,12,5.37,GL,1631760848
113,Havre-St-Pierre,50.2334,-63.5986,53.96,100,90,4.61,CA,1631760849
114,Esim,4.8699,-2.2405,74.46,93,91,8.21,GH,1631760850
115,Nanortalik,60.1432,-45.2371,38.37,79,6,8.28,GL,1631760852
116,Oroville,39.5138,-121.5564,80.78,39,0,3.0,US,1631760854
117,Acaraú,-2.8856,-40.12,79.14,85,5,15.32,BR,1631760763
118,Teshie,5.5836,-0.1072,77.56,88,90,5.75,GH,1631760855
119,Yerbogachën,61.2767,108.0108,40.1,85,100,4.65,RU,1631760857
120,Thompson,55.7435,-97.8558,57.36,82,75,10.36,CA,1631760858
121,Kholmy,51.871,32.6006,42.12,75,48,5.35,UA,1631760860
122,Isangel,-19.55,169.2667,80.71,74,40,5.75,VU,1631760861
123,Port Macquarie,-31.4333,152.9167,62.56,53,47,10.89,AU,1631760673
124,Tandil,-37.3217,-59.1332,46.33,77,0,7.9,AR,1631760763
125,Dubti,11.7361,41.0853,86.76,31,100,6.51,ET,1631760862
126,Vardø,70.3705,31.1107,34.0,76,95,3.87,NO,1631760865
127,Atasū,48.6814,71.6433,64.18,17,7,2.64,KZ,1631760866
128,Ishim,56.1128,69.4902,58.35,54,100,11.5,RU,1631760589
129,Sitka,57.0531,-135.33,49.53,86,100,3.83,US,1631760867
130,Poum,-20.2333,164.0167,71.17,65,84,21.23,NC,1631760869
131,Nome,64.5011,-165.4064,48.16,92,100,4.65,US,1631760870
132,Port Hardy,50.6996,-127.4199,55.58,71,20,10.36,CA,1631760871
133,Belvedere Marittimo,39.6179,15.8617,66.11,65,63,1.74,IT,1631760873
134,Tymovskoye,50.8456,142.655,67.71,46,29,9.89,RU,1631760874
135,Yinchuan,38.4681,106.2731,68.63,53,1,3.0,CN,1631760875
136,North Branch,45.5113,-92.9802,66.4,58,99,15.77,US,1631760876
137,Ponoka,52.6768,-113.5815,46.44,45,69,12.03,CA,1631760878
138,Westport,53.8,-9.5167,56.93,97,51,3.62,IE,1631760879
139,La Ronge,55.1001,-105.2842,52.05,50,20,4.61,CA,1631760880
140,Grand-Lahou,5.1367,-5.0242,73.96,95,100,6.35,CI,1631760881
141,Upernavik,72.7868,-56.1549,30.31,81,99,9.08,GL,1631760883
